code,state_name,name
y7CTi,AL,Alabama
ebArR,AR,Arkansas
B09xf,CA,California
3MGs1,FL,Florida
Skjkg,GA,Georgia
EkRRg,IN,Indiana
YEyvk,IA,Iowa
YoP6b,KS,Kansas
jCkYu,KY,Kentucky
eo9lE,LA,Louisiana
85sUe,MA,Massachusetts
18zQ2,MD,Maryland
iy744,ME,Maine
wYDuq,MO,Missouri
2300X,MS,Mississippi
amJTp,NC,North Carolina
YiLSR,NE,Nebraska
kNY5E,NH,New Hampshire
9RDT1,NM,New Mexico
qZi3I,OH,Ohio
udbCq,OK,Oklahoma
nWiTI,PA,Pennsylvania
7zVcg,SC,South Carolina
Quc9C,VT,Vermont
5XlSg,NY,New York
qMVYm,WI,Wisconsin
