state,chart_id,name
AL,O2LpQ,Alabama
AR,ZZeHE,Arkansas
CA,TR1fb,California
FL,81MW6,Florida
GA,hoL9e,Georgia
IN,GYXij,Indiana
IA,n3zag,Iowa
KS,wI9It,Kansas
KY,rqoRa,Kentucky
LA,9zxIu,Louisiana
MA,XBEr9,Massachusetts
MD,FgqC4,Maryland
ME,fGoLO,Maine
MO,V4yLR,Missouri
MS,pdpJJ,Mississippi
NC,QFEEu,North Carolina
NE,ljBMq,Nebraska
NH,8ZyHd,New Hampshire
NM,k4B3U,New Mexico
OH,iFOWX,Ohio
OK,CtVgp,Oklahoma
PA,m4if7,Pennsylvania
SC,xOS1p,South Carolina
VT,A4Ngg,Vermont
NY,l1A5F,New York
WI,c9uRU,Wisconsin
